Epoch,Train_Loss,Validation_Loss
1.000000000000000000e+00,8.894974142313003540e-01,7.362277222176393243e-01
2.000000000000000000e+00,8.971002135011885148e-01,9.521757662296295166e-01
3.000000000000000000e+00,9.556779000494215470e-01,8.160059625903764990e-01
4.000000000000000000e+00,8.589318891366323205e-01,8.697834884126981470e-01
5.000000000000000000e+00,6.902964380052354354e-01,1.227943384399016624e+00
6.000000000000000000e+00,7.776335411601595915e-01,6.774595379829406738e-01
7.000000000000000000e+00,7.469103087981542322e-01,9.304135541121164588e-01
8.000000000000000000e+00,6.832785871293809432e-01,7.396711247662702826e-01
9.000000000000000000e+00,8.012517359521653670e-01,1.063487127423286438e+00
1.000000000000000000e+01,7.138499452008141288e-01,7.804312656323114661e-01
