Epoch,Train_Loss,Validation_Loss
1.000000000000000000e+00,9.370541357331805266e-01,5.396559449533621766e+00
2.000000000000000000e+00,2.318823177284664538e+01,1.489470531543095833e+00
3.000000000000000000e+00,1.128122107850180633e+00,1.051726346214612251e+00
4.000000000000000000e+00,9.984862903753916052e-01,9.971741785605748865e-01
5.000000000000000000e+00,9.149461223019493827e-01,1.005187039573987251e+00
6.000000000000000000e+00,9.689782195621066130e-01,1.011042247215906853e+00
7.000000000000000000e+00,1.006864590777291291e+00,1.007068569461504692e+00
8.000000000000000000e+00,1.080238600571950203e+00,9.333159079154332849e-01
9.000000000000000000e+00,9.324419796466827393e-01,8.295631110668182373e-01
1.000000000000000000e+01,8.509523404969109306e-01,7.823212370276451111e-01
1.100000000000000000e+01,8.427661955356597900e-01,7.799630090594291687e-01
1.200000000000000000e+01,7.658807006147172469e-01,7.241564194361368445e-01
1.300000000000000000e+01,7.024506711297564543e-01,7.163449898362159729e-01
1.400000000000000000e+01,6.435454868608050383e-01,6.740456918875376013e-01
1.500000000000000000e+01,6.569243023792902259e-01,6.908429563045501709e-01
